order_id,customer_id,product_id,order_date,shipping_date,delivery_date,quantity,sales,profit,discount,shipping_mode,payment_mode
ORD00140856,CUST013501,PROD01003,2023-06-02,2023-06-07,2023-06-20,3,239700.0,17190.33,53923.06,Economy,UPI
ORD00072535,CUST012333,PROD01045,2021-03-29,2021-03-30,2021-04-06,1,32990.0,5759.43,7239.67,Standard,UPI
ORD00075801,CUST010555,PROD01049,2021-07-20,2021-07-24,2021-07-25,2,29998.0,5839.71,674.35,Same Day,Debit Card
ORD00171524,CUST013879,PROD01026,2024-02-01,2024-02-05,2024-02-08,2,111998.0,20974.69,12251.36,Standard,Debit Card
ORD00210906,CUST013867,PROD01029,2024-10-19,2024-10-20,2024-10-24,1,71900.0,6886.65,24866.1,Standard,UPI
ORD00207979,CUST012723,PROD01042,2024-09-14,2024-09-18,2024-09-23,2,19998.0,3189.38,582.06,Standard,COD
ORD00201895,CUST013909,PROD01017,2024-12-12,2024-12-13,2024-12-16,1,38990.0,4737.3,2971.29,Express,Wallet
ORD00069867,CUST011841,PROD01045,2021-12-09,2021-12-11,2021-12-20,2,65980.0,7270.06,14270.77,Economy,Debit Card
ORD00217087,CUST014064,PROD01029,2024-12-21,2024-12-24,2024-12-25,1,71900.0,11862.73,7968.0,Express,Debit Card
ORD00182123,CUST012770,PROD01061,2024-05-12,2024-05-15,2024-05-21,1,49990.0,11651.8,1805.17,Standard,Credit Card
ORD00237081,CUST014317,PROD01031,2025-01-18,2025-01-21,2025-01-28,4,27996.0,5413.04,4833.28,Standard,Net Banking
ORD00217209,CUST011764,PROD01064,2024-05-18,2024-05-21,2024-06-01,1,3995.0,614.7,244.55,Economy,Net Banking
ORD00050533,CUST010784,PROD01014,2020-09-13,2020-09-14,2020-09-21,1,10999.0,1432.46,1364.84,Economy,COD
ORD00207944,CUST012397,PROD01049,2024-12-15,2024-12-19,2024-12-19,1,14999.0,1716.93,2048.27,Same Day,Credit Card
ORD00170049,CUST014861,PROD01030,2024-08-24,2024-08-28,2024-09-07,2,49980.0,10423.55,8196.5,Economy,Wallet
ORD00243716,CUST010058,PROD01026,2025-01-24,2025-01-26,2025-01-30,1,55999.0,7462.18,11760.08,Standard,COD
ORD00107197,CUST012942,PROD01020,2022-12-12,2022-12-13,2022-12-20,1,92990.0,8332.07,3228.29,Economy,Wallet
ORD00169632,CUST014529,PROD01030,2024-05-03,2024-05-07,2024-05-10,1,24990.0,4219.86,4695.46,Standard,UPI
ORD00195378,CUST011472,PROD01026,2024-04-25,2024-04-26,2024-04-27,1,55999.0,11064.99,11184.9,Express,Net Banking
ORD00105433,CUST013690,PROD01060,2022-04-08,2022-04-11,2022-04-12,1,2999.0,717.38,504.79,Express,UPI
ORD00142567,CUST014046,PROD01004,2023-04-11,2023-04-15,2023-04-22,3,179700.0,16148.15,32149.13,Standard,Credit Card
ORD00123033,CUST011702,PROD01039,2023-06-17,2023-06-19,2023-06-19,1,23999.0,4183.86,4225.1,Same Day,UPI
ORD00051575,CUST010830,PROD01011,2020-05-03,2020-05-07,2020-05-10,3,134997.0,14960.37,22028.88,Express,UPI
ORD00206150,CUST011666,PROD01021,2024-02-14,2024-02-19,2024-03-03,1,15000.0,1977.1,265.51,Economy,Debit Card
ORD00175106,CUST013355,PROD01053,2024-05-02,2024-05-03,2024-05-08,3,149997.0,14950.81,36366.01,Standard,Credit Card
ORD00237772,CUST011972,PROD01054,2025-01-24,2025-01-28,2025-02-11,1,44999.0,8776.05,3008.0,Economy,UPI
ORD00194208,CUST010708,PROD01022,2024-04-27,2024-04-29,2024-04-30,1,139990.0,16219.79,26786.38,Same Day,Credit Card
ORD00067788,CUST011076,PROD01004,2021-04-20,2021-04-21,2021-04-26,4,239600.0,34167.12,3767.4,Standard,UPI
ORD00239524,CUST011788,PROD01009,2025-01-06,2025-01-10,2025-01-13,1,29990.0,3989.92,3080.23,Express,Credit Card
ORD00137885,CUST010536,PROD01044,2023-07-25,2023-07-27,2023-08-03,1,54990.0,9575.66,12315.07,Standard,Debit Card
ORD00166995,CUST011256,PROD01014,2024-10-12,2024-10-13,2024-10-14,1,10999.0,547.89,4191.68,Same Day,UPI
ORD00113931,CUST012928,PROD01001,2022-04-23,2022-04-26,2022-05-04,3,164997.0,21179.84,2365.06,Economy,Net Banking
ORD00195352,CUST012591,PROD01024,2024-10-03,2024-10-07,2024-10-14,1,56990.0,3944.75,10457.17,Standard,Wallet
ORD00108204,CUST014361,PROD01030,2022-04-13,2022-04-14,2022-04-18,2,49980.0,11063.53,4941.95,Standard,COD
ORD00116288,CUST013236,PROD01021,2022-04-29,2022-05-02,2022-05-03,3,45000.0,5175.19,8194.05,Express,COD
ORD00136946,CUST011856,PROD01033,2023-09-27,2023-10-02,2023-10-04,1,24900.0,7691.97,2344.93,Express,Credit Card
ORD00073300,CUST014302,PROD01045,2021-02-26,2021-02-28,2021-03-01,2,65980.0,13679.53,1133.1,Express,Debit Card
ORD00171918,CUST013629,PROD01052,2024-07-07,2024-07-09,2024-07-09,1,79990.0,13825.83,18112.29,Same Day,COD
ORD00208719,CUST010545,PROD01051,2024-10-22,2024-10-27,2024-11-03,2,59998.0,9972.08,16951.61,Standard,COD
ORD00103911,CUST014582,PROD01006,2022-11-09,2022-11-13,2022-11-14,1,27999.0,2237.04,5592.13,Express,Debit Card
ORD00147017,CUST011394,PROD01025,2023-09-16,2023-09-20,2023-09-27,2,61800.0,14137.12,1533.51,Standard,Net Banking
ORD00128934,CUST010408,PROD01040,2023-10-18,2023-10-22,2023-10-22,1,6999.0,839.93,1674.17,Same Day,Wallet
ORD00206930,CUST011515,PROD01003,2024-07-17,2024-07-20,2024-07-21,1,79900.0,6168.88,6823.32,Express,Net Banking
ORD00182124,CUST014565,PROD01050,2024-11-04,2024-11-08,2024-11-11,2,63998.0,8403.51,18779.54,Standard,Net Banking
ORD00154930,CUST012796,PROD01061,2023-12-02,2023-12-05,2023-12-08,1,49990.0,8871.41,12315.66,Standard,Net Banking
ORD00167691,CUST013708,PROD01021,2024-06-12,2024-06-14,2024-06-22,1,15000.0,1614.0,3103.83,Economy,Wallet
ORD00242062,CUST010984,PROD01014,2025-01-19,2025-01-22,2025-01-23,1,10999.0,1173.26,848.19,Same Day,Wallet
ORD00089902,CUST010589,PROD01059,2022-08-05,2022-08-07,2022-08-08,1,1499.0,396.03,194.84,Express,Wallet
ORD00117173,CUST012683,PROD01003,2022-04-01,2022-04-02,2022-04-03,1,79900.0,9356.78,17087.23,Same Day,COD
ORD00065878,CUST011083,PROD01039,2021-02-22,2021-02-27,2021-03-02,1,23999.0,4466.09,567.4,Standard,Wallet
ORD00073926,CUST012787,PROD01014,2021-03-06,2021-03-08,2021-03-09,1,10999.0,1280.03,2283.34,Express,Net Banking
ORD00172185,CUST011107,PROD01045,2024-06-08,2024-06-13,2024-06-13,2,65980.0,12525.71,1257.32,Same Day,COD
ORD00085366,CUST013251,PROD01041,2021-10-02,2021-10-07,2021-10-21,1,3499.0,337.33,1015.03,Economy,UPI
ORD00158177,CUST013766,PROD01053,2023-12-25,2023-12-26,2023-12-27,2,99998.0,23275.68,4214.65,Express,Credit Card
ORD00086457,CUST013595,PROD01045,2021-08-09,2021-08-11,2021-08-12,2,65980.0,13360.72,9413.2,Same Day,Debit Card
ORD00100460,CUST010701,PROD01033,2022-12-26,2022-12-27,2023-01-02,1,24900.0,8291.74,351.7,Standard,UPI
ORD00085349,CUST012581,PROD01017,2021-09-21,2021-09-22,2021-09-24,1,38990.0,4312.25,3851.97,Express,Net Banking
ORD00114631,CUST013861,PROD01011,2022-12-02,2022-12-05,2022-12-07,3,134997.0,12919.27,21699.32,Express,Debit Card
ORD00060621,CUST011950,PROD01025,2020-08-22,2020-08-24,2020-08-25,3,92700.0,10835.13,14354.86,Same Day,UPI
ORD00116212,CUST010862,PROD01011,2022-10-14,2022-10-15,2022-10-19,2,89998.0,5147.58,34571.62,Standard,Credit Card
ORD00224944,CUST014310,PROD01014,2025-02-22,2025-02-23,2025-03-06,1,10999.0,1073.58,1407.26,Economy,COD
ORD00107164,CUST013241,PROD01015,2022-09-19,2022-09-21,2022-09-22,1,42990.0,3114.55,4233.91,Same Day,Credit Card
ORD00228663,CUST010709,PROD01039,2025-02-24,2025-02-26,2025-03-05,1,23999.0,5165.27,2309.82,Standard,Wallet
ORD00188063,CUST012050,PROD01041,2024-04-17,2024-04-20,2024-04-24,4,13996.0,1462.28,2420.93,Standard,Net Banking
ORD00213778,CUST014075,PROD01054,2024-11-26,2024-11-29,2024-11-30,1,44999.0,5394.6,6659.89,Express,Debit Card
ORD00210812,CUST014926,PROD01029,2024-12-03,2024-12-06,2024-12-08,3,215700.0,41008.57,44830.73,Express,Credit Card
ORD00237760,CUST013682,PROD01056,2025-02-17,2025-02-20,2025-02-23,2,27998.0,7364.84,3961.24,Express,Debit Card
ORD00147655,CUST014406,PROD01005,2023-11-15,2023-11-17,2023-11-20,1,64999.0,6848.47,12119.52,Express,Credit Card
ORD00151220,CUST010183,PROD01035,2023-06-17,2023-06-21,2023-07-02,2,4998.0,1222.54,927.89,Economy,Credit Card
ORD00244445,CUST013123,PROD01032,2025-02-21,2025-02-25,2025-03-03,2,2998.0,734.98,635.05,Standard,Debit Card
ORD00144629,CUST012203,PROD01064,2023-07-29,2023-08-03,2023-08-08,1,3995.0,656.66,631.31,Standard,Debit Card
ORD00242980,CUST011233,PROD01022,2025-02-17,2025-02-18,2025-02-19,1,139990.0,10666.06,12645.55,Express,UPI
ORD00073967,CUST010894,PROD01013,2021-05-20,2021-05-21,2021-05-22,1,129900.0,16568.24,27616.82,Same Day,Credit Card
ORD00226119,CUST010723,PROD01053,2025-02-03,2025-02-04,2025-02-12,2,99998.0,13241.85,24465.07,Economy,Net Banking
ORD00134613,CUST012171,PROD01025,2023-11-11,2023-11-14,2023-11-15,2,61800.0,8478.55,14475.67,Express,Wallet
ORD00142133,CUST012914,PROD01063,2023-12-22,2023-12-25,2024-01-01,1,32999.0,5262.66,25.9,Standard,Net Banking
ORD00228520,CUST013219,PROD01038,2025-02-22,2025-02-24,2025-02-25,4,167600.0,27700.3,37413.81,Same Day,Debit Card
ORD00138507,CUST012024,PROD01023,2023-03-11,2023-03-14,2023-03-21,2,169980.0,20915.86,14817.38,Economy,COD
ORD00185403,CUST011940,PROD01059,2024-07-21,2024-07-22,2024-08-04,1,1499.0,361.03,345.24,Economy,Net Banking
ORD00181589,CUST012909,PROD01037,2024-10-03,2024-10-06,2024-10-15,1,1299.0,363.0,143.22,Economy,UPI
ORD00091981,CUST011927,PROD01043,2022-09-02,2022-09-06,2022-09-07,4,7196.0,888.51,659.66,Same Day,Net Banking
ORD00221981,CUST011048,PROD01006,2024-06-30,2024-07-04,2024-07-06,1,27999.0,2456.13,2693.78,Express,Net Banking
ORD00118273,CUST013484,PROD01057,2022-04-30,2022-05-03,2022-05-11,2,35998.0,10052.99,1128.74,Economy,Wallet
ORD00129638,CUST012816,PROD01022,2023-10-21,2023-10-26,2023-11-04,1,139990.0,14066.23,20671.43,Economy,Credit Card
ORD00078518,CUST014556,PROD01029,2021-03-25,2021-03-28,2021-04-09,1,71900.0,13990.35,4348.21,Economy,UPI
ORD00218120,CUST013978,PROD01031,2024-01-17,2024-01-19,2024-01-20,1,6999.0,1578.94,1527.76,Express,UPI
ORD00155710,CUST014266,PROD01011,2023-07-03,2023-07-07,2023-07-07,1,44999.0,5016.58,10799.09,Same Day,Net Banking
ORD00075123,CUST013747,PROD01062,2021-07-09,2021-07-10,2021-07-10,1,49990.0,11549.22,736.93,Same Day,Wallet
ORD00132459,CUST013475,PROD01013,2023-12-21,2023-12-22,2023-12-29,1,129900.0,22927.39,24470.48,Standard,Net Banking
ORD00131801,CUST010494,PROD01020,2023-07-19,2023-07-21,2023-07-24,1,92990.0,6975.57,6497.42,Standard,Debit Card
ORD00130040,CUST012614,PROD01052,2023-10-25,2023-10-28,2023-10-31,1,79990.0,8678.67,14559.6,Standard,Wallet
ORD00126478,CUST011495,PROD01025,2023-05-24,2023-05-27,2023-06-04,3,92700.0,10494.24,14608.25,Economy,UPI
ORD00086876,CUST014635,PROD01050,2021-06-11,2021-06-15,2021-06-21,1,31999.0,5618.94,4969.48,Standard,Net Banking
ORD00196610,CUST011832,PROD01023,2024-05-25,2024-05-27,2024-05-28,1,84990.0,8924.22,11355.44,Same Day,Wallet
ORD00219274,CUST014124,PROD01020,2024-08-11,2024-08-14,2024-08-15,1,92990.0,7961.71,15433.37,Same Day,Wallet
ORD00198346,CUST011338,PROD01002,2024-03-01,2024-03-02,2024-03-02,1,14999.0,1725.64,3322.38,Same Day,UPI
ORD00185188,CUST011292,PROD01058,2024-02-13,2024-02-16,2024-02-17,3,2697.0,514.24,586.76,Same Day,UPI
ORD00196003,CUST013978,PROD01037,2024-08-19,2024-08-20,2024-08-23,2,2598.0,637.19,320.16,Express,Wallet
ORD00148624,CUST013460,PROD01006,2023-03-24,2023-03-28,2023-04-03,1,27999.0,2806.59,6705.52,Standard,UPI
ORD00228150,CUST013619,PROD01017,2025-02-11,2025-02-12,2025-02-15,1,38990.0,3708.7,3667.43,Express,UPI
ORD00192243,CUST013526,PROD01034,2024-11-04,2024-11-05,2024-11-06,1,2999.0,677.27,426.43,Express,Net Banking
ORD00147907,CUST013374,PROD01046,2023-12-05,2023-12-09,2023-12-14,1,104990.0,23392.34,2028.17,Standard,Debit Card
ORD00219713,CUST012756,PROD01012,2024-09-07,2024-09-10,2024-09-15,1,26499.0,2746.19,1480.68,Standard,UPI
ORD00238703,CUST010719,PROD01027,2025-01-10,2025-01-14,2025-01-20,2,27998.0,4470.98,867.95,Standard,Debit Card
ORD00098950,CUST011068,PROD01030,2022-09-11,2022-09-14,2022-09-15,2,49980.0,15204.78,5177.91,Same Day,Debit Card
ORD00070252,CUST012508,PROD01026,2021-06-24,2021-06-29,2021-07-07,5,279995.0,34923.75,46863.76,Economy,COD
ORD00144765,CUST012348,PROD01059,2023-09-12,2023-09-16,2023-09-17,1,1499.0,337.45,184.04,Same Day,Credit Card
ORD00158773,CUST012224,PROD01041,2023-12-17,2023-12-20,2023-12-21,1,3499.0,473.41,122.99,Same Day,Net Banking
ORD00137132,CUST010214,PROD01032,2023-04-05,2023-04-09,2023-04-10,1,1499.0,388.99,129.63,Express,Credit Card
ORD00189986,CUST012346,PROD01027,2024-06-15,2024-06-17,2024-06-20,5,69995.0,12041.86,12723.65,Express,Debit Card
ORD00071126,CUST013362,PROD01050,2021-09-18,2021-09-23,2021-10-07,2,63998.0,9562.99,2244.21,Economy,COD
ORD00238872,CUST014378,PROD01059,2025-01-07,2025-01-12,2025-01-24,1,1499.0,469.87,146.96,Economy,COD
ORD00063315,CUST014242,PROD01004,2020-02-21,2020-02-25,2020-02-27,1,59900.0,6062.46,14436.04,Express,Wallet
ORD00078310,CUST014137,PROD01007,2021-08-02,2021-08-03,2021-08-06,1,15999.0,1177.62,2859.24,Express,Net Banking
ORD00171007,CUST011365,PROD01013,2024-12-29,2024-12-30,2025-01-03,1,129900.0,18025.28,5729.68,Standard,Wallet
ORD00136226,CUST010303,PROD01022,2023-12-19,2023-12-23,2023-12-24,1,139990.0,14445.84,30086.98,Express,Credit Card
ORD00142757,CUST013232,PROD01030,2023-02-23,2023-02-26,2023-03-06,1,24990.0,6269.59,3537.63,Economy,COD
ORD00059033,CUST010906,PROD01009,2020-08-06,2020-08-11,2020-08-12,5,149950.0,11162.7,32179.43,Same Day,Credit Card
ORD00150952,CUST010998,PROD01026,2023-07-20,2023-07-22,2023-07-28,2,111998.0,24142.79,7401.2,Standard,Net Banking
ORD00235715,CUST011047,PROD01013,2025-01-09,2025-01-10,2025-01-10,5,649500.0,134673.84,103344.87,Same Day,COD
ORD00071320,CUST011823,PROD01041,2021-09-28,2021-10-03,2021-10-13,1,3499.0,403.64,175.85,Economy,Net Banking
ORD00072180,CUST012454,PROD01012,2021-08-02,2021-08-03,2021-08-08,1,26499.0,3082.38,1152.65,Standard,Wallet
ORD00075224,CUST011823,PROD01031,2021-07-25,2021-07-30,2021-07-31,2,13998.0,2811.46,2426.18,Same Day,Credit Card
ORD00126586,CUST010968,PROD01004,2023-01-22,2023-01-27,2023-02-03,1,59900.0,4408.92,9427.17,Standard,Credit Card
ORD00116799,CUST012121,PROD01042,2022-06-17,2022-06-19,2022-06-25,1,9999.0,1311.95,1002.83,Standard,Debit Card
ORD00162410,CUST014413,PROD01014,2023-09-02,2023-09-04,2023-09-10,2,21998.0,1581.25,2637.58,Standard,UPI
ORD00206795,CUST013212,PROD01014,2024-04-03,2024-04-08,2024-04-08,2,21998.0,2518.81,3111.38,Same Day,Net Banking
ORD00115036,CUST012213,PROD01029,2022-04-18,2022-04-20,2022-04-28,1,71900.0,10753.58,10805.07,Economy,Debit Card
ORD00105607,CUST014096,PROD01031,2022-08-02,2022-08-05,2022-08-12,5,34995.0,6549.38,5519.11,Standard,Debit Card
ORD00148684,CUST013136,PROD01041,2023-10-18,2023-10-20,2023-10-21,2,6998.0,962.4,1434.25,Express,Debit Card
ORD00121492,CUST011128,PROD01037,2023-06-24,2023-06-28,2023-07-03,1,1299.0,239.05,160.94,Standard,Wallet
ORD00086506,CUST014570,PROD01044,2021-05-07,2021-05-08,2021-05-17,1,54990.0,11607.03,8070.99,Economy,Wallet
ORD00156632,CUST011045,PROD01009,2023-08-07,2023-08-09,2023-08-12,1,29990.0,4122.14,538.46,Standard,Net Banking
ORD00237885,CUST013018,PROD01021,2025-02-09,2025-02-13,2025-02-15,2,30000.0,2719.6,7460.15,Express,Wallet
ORD00142758,CUST010938,PROD01006,2023-12-26,2023-12-28,2023-12-30,1,27999.0,2438.39,781.05,Express,Debit Card
ORD00095108,CUST012264,PROD01001,2022-01-18,2022-01-20,2022-01-27,1,54999.0,4855.94,4023.57,Standard,Net Banking
ORD00116633,CUST011255,PROD01039,2022-08-26,2022-08-31,2022-09-10,1,23999.0,4573.43,2425.96,Economy,Credit Card
ORD00189496,CUST013148,PROD01034,2024-07-17,2024-07-19,2024-07-20,1,2999.0,781.9,337.69,Express,Debit Card
ORD00056036,CUST010066,PROD01003,2020-09-25,2020-09-26,2020-09-27,1,79900.0,10290.94,6893.97,Express,COD
ORD00122884,CUST014013,PROD01052,2023-07-30,2023-08-03,2023-08-09,1,79990.0,15886.25,12079.01,Standard,UPI
ORD00058444,CUST014647,PROD01038,2020-08-15,2020-08-16,2020-08-22,1,41900.0,7081.49,4959.81,Standard,Credit Card
ORD00219556,CUST010010,PROD01038,2024-09-06,2024-09-07,2024-09-12,1,41900.0,5964.0,3930.44,Standard,Debit Card
ORD00134938,CUST010261,PROD01026,2023-08-04,2023-08-08,2023-08-10,1,55999.0,7925.44,11582.82,Express,Net Banking
ORD00192450,CUST013196,PROD01014,2024-05-18,2024-05-19,2024-05-25,1,10999.0,932.06,714.65,Standard,Debit Card
ORD00189873,CUST014298,PROD01033,2024-02-24,2024-02-26,2024-02-27,4,99600.0,28993.06,6777.32,Same Day,Wallet
ORD00139498,CUST012556,PROD01008,2023-11-11,2023-11-16,2023-11-29,1,24999.0,2301.23,7171.64,Economy,Net Banking
ORD00227402,CUST011318,PROD01061,2025-02-17,2025-02-19,2025-02-21,1,49990.0,6384.1,6298.0,Express,UPI
ORD00227636,CUST011770,PROD01036,2025-02-23,2025-02-27,2025-02-27,5,79950.0,18264.3,18410.24,Same Day,Wallet
