return_id,order_id,product_id,reason
RET000909,ORD00060379,PROD01030,Wrong item received
RET000917,ORD00060489,PROD01056,Defective product
RET000919,ORD00060511,PROD01026,Changed mind
RET000926,ORD00060576,PROD01052,Changed mind
RET000930,ORD00060675,PROD01041,Size/compatibility issue
RET000931,ORD00060694,PROD01063,Ordered by mistake
RET000936,ORD00060738,PROD01016,Wrong item received
RET000942,ORD00060826,PROD01008,Quality issues
RET000951,ORD00060959,PROD01010,Size/compatibility issue
RET000952,ORD00060969,PROD01003,Product not as described
RET000954,ORD00060991,PROD01058,Defective product
RET000955,ORD00060995,PROD01026,Defective product
RET000957,ORD00061004,PROD01047,Damaged during shipping
RET000966,ORD00061082,PROD01011,Late delivery
RET000974,ORD00061159,PROD01061,Quality issues
RET000976,ORD00061167,PROD01045,Defective product
RET000978,ORD00061181,PROD01046,Late delivery
RET000980,ORD00061188,PROD01035,Quality issues
RET000992,ORD00061301,PROD01052,Ordered by mistake
RET000995,ORD00061383,PROD01022,Better price available
RET000996,ORD00061415,PROD01023,Defective product
RET000998,ORD00061439,PROD01024,Wrong item received
RET001001,ORD00061466,PROD01014,Product not as described
RET001016,ORD00061592,PROD01032,Defective product
RET001018,ORD00061615,PROD01039,Changed mind
RET001020,ORD00061639,PROD01020,Better price available
RET001026,ORD00061715,PROD01010,Wrong item received
RET001031,ORD00061751,PROD01019,Wrong item received
RET001035,ORD00061818,PROD01008,Defective product
RET001037,ORD00061828,PROD01062,Late delivery
RET001047,ORD00061922,PROD01016,Ordered by mistake
RET001048,ORD00061932,PROD01023,Defective product
RET001063,ORD00062039,PROD01062,Better price available
RET001080,ORD00062204,PROD01043,Changed mind
RET001089,ORD00062315,PROD01037,Late delivery
RET001104,ORD00062471,PROD01012,Size/compatibility issue
RET001106,ORD00062520,PROD01062,Better price available
RET001108,ORD00062537,PROD01013,Better price available
RET001109,ORD00062537,PROD01059,Size/compatibility issue
RET001110,ORD00062546,PROD01051,Product not as described
RET001115,ORD00062578,PROD01013,Quality issues
RET001120,ORD00062665,PROD01005,Quality issues
RET001127,ORD00062774,PROD01053,Defective product
RET001141,ORD00062985,PROD01042,Better price available
RET001146,ORD00063003,PROD01043,Better price available
RET001152,ORD00063123,PROD01045,Ordered by mistake
RET001153,ORD00063124,PROD01049,Defective product
RET001157,ORD00063158,PROD01006,Late delivery
RET001159,ORD00063186,PROD01045,Better price available
RET001180,ORD00063485,PROD01031,Late delivery
RET001184,ORD00063534,PROD01017,Ordered by mistake
RET001187,ORD00063582,PROD01038,Changed mind
RET001192,ORD00063684,PROD01026,Better price available
RET001204,ORD00063814,PROD01007,Size/compatibility issue
RET001207,ORD00063851,PROD01036,Wrong item received
RET001208,ORD00063872,PROD01005,Changed mind
RET001211,ORD00063901,PROD01056,Wrong item received
RET001216,ORD00063937,PROD01027,Wrong item received
RET001220,ORD00063998,PROD01037,Changed mind
RET001224,ORD00064027,PROD01015,Ordered by mistake
RET001227,ORD00064068,PROD01059,Quality issues
RET001228,ORD00064069,PROD01030,Late delivery
RET001234,ORD00064128,PROD01061,Damaged during shipping
RET001237,ORD00064150,PROD01008,Size/compatibility issue
RET001238,ORD00064178,PROD01029,Damaged during shipping
RET001240,ORD00064188,PROD01032,Better price available
RET001246,ORD00064249,PROD01029,Ordered by mistake
RET001276,ORD00064566,PROD01035,Defective product
RET001281,ORD00064628,PROD01018,Damaged during shipping
RET001284,ORD00064655,PROD01010,Quality issues
RET001285,ORD00064707,PROD01003,Late delivery
RET001289,ORD00064748,PROD01015,Product not as described
RET001290,ORD00064774,PROD01061,Ordered by mistake
RET001297,ORD00064829,PROD01036,Quality issues
RET001298,ORD00064834,PROD01032,Wrong item received
RET001318,ORD00064958,PROD01033,Changed mind
RET001319,ORD00065020,PROD01013,Product not as described
RET001325,ORD00065107,PROD01041,Quality issues
RET001328,ORD00065157,PROD01018,Quality issues
RET001333,ORD00065253,PROD01007,Defective product
RET001340,ORD00065328,PROD01008,Wrong item received
RET001342,ORD00065355,PROD01007,Defective product
RET001347,ORD00065428,PROD01058,Ordered by mistake
RET001348,ORD00065456,PROD01015,Ordered by mistake
RET001349,ORD00065456,PROD01028,Better price available
RET001350,ORD00065476,PROD01041,Ordered by mistake
RET001356,ORD00065579,PROD01041,Changed mind
RET001359,ORD00065626,PROD01013,Damaged during shipping
RET001360,ORD00065633,PROD01011,Damaged during shipping
RET001362,ORD00065647,PROD01029,Quality issues
RET001378,ORD00065808,PROD01003,Size/compatibility issue
RET001382,ORD00065926,PROD01047,Ordered by mistake
RET001399,ORD00066100,PROD01006,Size/compatibility issue
RET001407,ORD00066174,PROD01041,Ordered by mistake
RET001419,ORD00066287,PROD01035,Damaged during shipping
RET001430,ORD00066490,PROD01060,Late delivery
RET001440,ORD00066729,PROD01010,Damaged during shipping
RET001441,ORD00066731,PROD01017,Defective product
RET001454,ORD00066871,PROD01038,Better price available
RET001459,ORD00066905,PROD01023,Ordered by mistake
RET001465,ORD00066952,PROD01047,Better price available
RET001469,ORD00066988,PROD01026,Size/compatibility issue
RET001475,ORD00067042,PROD01054,Product not as described
RET001482,ORD00067113,PROD01038,Late delivery
RET001484,ORD00067123,PROD01013,Better price available
RET001486,ORD00067170,PROD01034,Changed mind
RET001492,ORD00067237,PROD01003,Late delivery
RET001494,ORD00067273,PROD01051,Better price available
RET001499,ORD00067304,PROD01019,Defective product
RET001504,ORD00067341,PROD01009,Quality issues
RET001508,ORD00067389,PROD01032,Late delivery
RET001510,ORD00067421,PROD01044,Size/compatibility issue
RET001511,ORD00067425,PROD01011,Late delivery
RET001513,ORD00067433,PROD01028,Size/compatibility issue
RET001515,ORD00067452,PROD01050,Size/compatibility issue
RET001516,ORD00067465,PROD01010,Product not as described
RET001523,ORD00067527,PROD01035,Ordered by mistake
RET001525,ORD00067557,PROD01006,Wrong item received
RET001528,ORD00067593,PROD01025,Ordered by mistake
RET001538,ORD00067693,PROD01061,Better price available
RET001560,ORD00067901,PROD01063,Late delivery
RET001577,ORD00068133,PROD01012,Late delivery
RET001579,ORD00068144,PROD01016,Changed mind
RET001587,ORD00068223,PROD01042,Defective product
RET001588,ORD00068228,PROD01057,Product not as described
RET001594,ORD00068337,PROD01046,Damaged during shipping
RET001606,ORD00068574,PROD01052,Wrong item received
RET001616,ORD00068700,PROD01032,Product not as described
RET001617,ORD00068707,PROD01004,Late delivery
RET001623,ORD00068791,PROD01007,Changed mind
RET001626,ORD00068830,PROD01011,Late delivery
RET001637,ORD00068939,PROD01048,Size/compatibility issue
RET001648,ORD00069125,PROD01040,Wrong item received
RET001653,ORD00069190,PROD01033,Changed mind
RET001656,ORD00069216,PROD01032,Better price available
RET001658,ORD00069263,PROD01001,Defective product
RET001660,ORD00069277,PROD01008,Quality issues
RET001665,ORD00069326,PROD01003,Wrong item received
RET001669,ORD00069369,PROD01020,Changed mind
RET001676,ORD00069411,PROD01029,Product not as described
RET001680,ORD00069458,PROD01017,Ordered by mistake
RET001683,ORD00069483,PROD01029,Wrong item received
RET001692,ORD00069621,PROD01057,Changed mind
RET001695,ORD00069641,PROD01006,Damaged during shipping
RET001699,ORD00069671,PROD01052,Size/compatibility issue
RET001700,ORD00069682,PROD01017,Size/compatibility issue
RET001701,ORD00069691,PROD01045,Defective product
RET001704,ORD00069747,PROD01041,Ordered by mistake
RET001708,ORD00069788,PROD01033,Product not as described
RET001717,ORD00069899,PROD01040,Changed mind
RET001722,ORD00069944,PROD01031,Product not as described
RET001723,ORD00069950,PROD01052,Wrong item received
RET001729,ORD00070041,PROD01036,Quality issues
RET001730,ORD00070045,PROD01053,Defective product
RET001735,ORD00070107,PROD01024,Wrong item received
RET001750,ORD00070274,PROD01047,Quality issues
RET001757,ORD00070326,PROD01010,Size/compatibility issue
RET001771,ORD00070566,PROD01030,Defective product
RET001781,ORD00070741,PROD01028,Quality issues
RET001782,ORD00070741,PROD01026,Wrong item received
RET001783,ORD00070758,PROD01057,Size/compatibility issue
RET001786,ORD00070813,PROD01024,Size/compatibility issue
RET001789,ORD00070914,PROD01023,Product not as described
RET001801,ORD00071056,PROD01042,Late delivery
RET001817,ORD00071222,PROD01064,Changed mind
RET001823,ORD00071276,PROD01030,Size/compatibility issue
RET001829,ORD00071335,PROD01052,Quality issues
RET001831,ORD00071342,PROD01036,Damaged during shipping
RET001840,ORD00071441,PROD01003,Better price available
RET001863,ORD00071641,PROD01033,Defective product
RET001866,ORD00071662,PROD01046,Better price available
RET001868,ORD00071676,PROD01031,Better price available
RET001869,ORD00071676,PROD01043,Size/compatibility issue
RET001871,ORD00071767,PROD01025,Wrong item received
RET001874,ORD00071778,PROD01045,Defective product
RET001875,ORD00071788,PROD01002,Size/compatibility issue
RET001880,ORD00071845,PROD01028,Defective product
RET001895,ORD00071994,PROD01052,Damaged during shipping
RET001897,ORD00071998,PROD01014,Wrong item received
RET001898,ORD00072001,PROD01003,Defective product
RET001913,ORD00072131,PROD01022,Late delivery
RET001935,ORD00072400,PROD01031,Ordered by mistake
RET001938,ORD00072438,PROD01054,Product not as described
RET001941,ORD00072469,PROD01004,Better price available
RET001943,ORD00072493,PROD01027,Late delivery
RET001944,ORD00072519,PROD01043,Product not as described
RET001946,ORD00072573,PROD01019,Wrong item received
RET001955,ORD00072647,PROD01036,Quality issues
RET001959,ORD00072686,PROD01039,Wrong item received
RET001961,ORD00072697,PROD01059,Ordered by mistake
RET001965,ORD00072742,PROD01006,Quality issues
RET001966,ORD00072756,PROD01036,Changed mind
RET001969,ORD00072794,PROD01044,Changed mind
RET001972,ORD00072865,PROD01064,Quality issues
RET001981,ORD00072950,PROD01002,Defective product
RET001983,ORD00072968,PROD01055,Defective product
RET001988,ORD00073010,PROD01064,Damaged during shipping
RET001989,ORD00073024,PROD01040,Product not as described
RET001991,ORD00073051,PROD01022,Better price available
RET001993,ORD00073076,PROD01013,Changed mind
RET001995,ORD00073082,PROD01042,Changed mind
RET001996,ORD00073083,PROD01055,Damaged during shipping
RET002000,ORD00073108,PROD01026,Changed mind
RET002003,ORD00073122,PROD01036,Size/compatibility issue
RET002004,ORD00073184,PROD01034,Wrong item received
RET002007,ORD00073214,PROD01040,Damaged during shipping
RET002008,ORD00073214,PROD01056,Quality issues
RET002013,ORD00073236,PROD01022,Better price available
RET002017,ORD00073293,PROD01002,Late delivery
RET002019,ORD00073314,PROD01025,Size/compatibility issue
RET002048,ORD00073693,PROD01030,Damaged during shipping
RET002049,ORD00073695,PROD01028,Damaged during shipping
RET002062,ORD00073812,PROD01060,Wrong item received
RET002063,ORD00073820,PROD01042,Defective product
RET002065,ORD00073879,PROD01011,Defective product
RET002071,ORD00073971,PROD01010,Quality issues
RET002079,ORD00074060,PROD01040,Size/compatibility issue
RET002080,ORD00074065,PROD01025,Product not as described
RET002089,ORD00074131,PROD01054,Quality issues
RET002092,ORD00074166,PROD01024,Defective product
RET002097,ORD00074267,PROD01013,Product not as described
RET002100,ORD00074300,PROD01045,Product not as described
RET002108,ORD00074394,PROD01032,Changed mind
RET002123,ORD00074656,PROD01023,Damaged during shipping
RET002125,ORD00074709,PROD01052,Better price available
RET002135,ORD00074797,PROD01038,Size/compatibility issue
RET002136,ORD00074797,PROD01018,Ordered by mistake
RET002138,ORD00074847,PROD01019,Defective product
RET002139,ORD00074859,PROD01024,Changed mind
RET002146,ORD00074914,PROD01009,Better price available
RET002148,ORD00074955,PROD01012,Better price available
RET002155,ORD00075031,PROD01045,Changed mind
RET002157,ORD00075096,PROD01043,Wrong item received
RET002161,ORD00075154,PROD01054,Ordered by mistake
RET002166,ORD00075197,PROD01059,Late delivery
RET002175,ORD00075321,PROD01036,Quality issues
RET002176,ORD00075326,PROD01025,Ordered by mistake
RET002179,ORD00075379,PROD01050,Wrong item received
RET002195,ORD00075493,PROD01013,Quality issues
RET002204,ORD00075580,PROD01043,Quality issues
RET002207,ORD00075633,PROD01049,Ordered by mistake
RET002209,ORD00075647,PROD01012,Ordered by mistake
RET002229,ORD00075878,PROD01023,Changed mind
RET002233,ORD00075925,PROD01008,Quality issues
RET002234,ORD00075934,PROD01046,Late delivery
RET002240,ORD00076008,PROD01061,Ordered by mistake
RET002244,ORD00076093,PROD01035,Wrong item received
RET002249,ORD00076151,PROD01011,Damaged during shipping
RET002250,ORD00076175,PROD01038,Wrong item received
RET002256,ORD00076295,PROD01002,Ordered by mistake
RET002260,ORD00076441,PROD01057,Wrong item received
RET002265,ORD00076502,PROD01049,Defective product
RET002268,ORD00076517,PROD01035,Damaged during shipping
RET002271,ORD00076532,PROD01023,Product not as described
RET002278,ORD00076570,PROD01034,Quality issues
RET002282,ORD00076642,PROD01058,Damaged during shipping
RET002296,ORD00076762,PROD01009,Size/compatibility issue
RET002299,ORD00076797,PROD01040,Better price available
RET002311,ORD00076889,PROD01063,Ordered by mistake
RET002324,ORD00077048,PROD01062,Quality issues
RET002330,ORD00077107,PROD01006,Size/compatibility issue
RET002336,ORD00077142,PROD01024,Damaged during shipping
RET002346,ORD00077215,PROD01059,Quality issues
RET002349,ORD00077267,PROD01062,Size/compatibility issue
RET002352,ORD00077326,PROD01030,Damaged during shipping
RET002355,ORD00077364,PROD01048,Defective product
RET002356,ORD00077415,PROD01007,Defective product
RET002359,ORD00077430,PROD01008,Damaged during shipping
RET002362,ORD00077496,PROD01037,Changed mind
RET002366,ORD00077528,PROD01046,Product not as described
RET002377,ORD00077703,PROD01035,Ordered by mistake
RET002380,ORD00077743,PROD01032,Size/compatibility issue
RET002381,ORD00077749,PROD01041,Product not as described
RET002390,ORD00077892,PROD01027,Quality issues
RET002417,ORD00078141,PROD01020,Wrong item received
RET002428,ORD00078292,PROD01029,Damaged during shipping
RET002429,ORD00078294,PROD01003,Better price available
RET002430,ORD00078304,PROD01016,Better price available
RET002444,ORD00078452,PROD01011,Wrong item received
RET002447,ORD00078491,PROD01021,Better price available
RET002450,ORD00078536,PROD01030,Wrong item received
RET002453,ORD00078563,PROD01035,Ordered by mistake
RET002461,ORD00078685,PROD01057,Ordered by mistake
RET002462,ORD00078715,PROD01038,Wrong item received
RET002470,ORD00078773,PROD01019,Defective product
RET002472,ORD00078784,PROD01034,Damaged during shipping
RET002500,ORD00079095,PROD01031,Defective product
RET002503,ORD00079111,PROD01020,Product not as described
RET002509,ORD00079179,PROD01008,Defective product
RET002510,ORD00079183,PROD01043,Product not as described
RET002513,ORD00079218,PROD01057,Product not as described
RET002522,ORD00079311,PROD01054,Better price available
RET002526,ORD00079352,PROD01048,Better price available
RET002532,ORD00079394,PROD01032,Defective product
RET002533,ORD00079394,PROD01036,Better price available
RET002542,ORD00079545,PROD01061,Better price available
RET002544,ORD00079589,PROD01061,Damaged during shipping
RET002546,ORD00079640,PROD01004,Defective product
RET002549,ORD00079685,PROD01015,Size/compatibility issue
RET002553,ORD00079752,PROD01036,Defective product
RET002568,ORD00080024,PROD01018,Ordered by mistake
RET002571,ORD00080043,PROD01057,Product not as described
RET002572,ORD00080043,PROD01029,Size/compatibility issue
RET002581,ORD00080159,PROD01008,Defective product
RET002586,ORD00080189,PROD01017,Wrong item received
RET002587,ORD00080190,PROD01037,Better price available
RET002588,ORD00080198,PROD01004,Damaged during shipping
RET002590,ORD00080224,PROD01061,Damaged during shipping
RET002591,ORD00080227,PROD01003,Size/compatibility issue
RET002593,ORD00080237,PROD01025,Wrong item received
RET002598,ORD00080285,PROD01054,Wrong item received
RET002607,ORD00080353,PROD01017,Changed mind
RET002617,ORD00080501,PROD01043,Quality issues
RET002622,ORD00080576,PROD01015,Defective product
RET002623,ORD00080580,PROD01056,Product not as described
RET002630,ORD00080639,PROD01048,Ordered by mistake
RET002635,ORD00080719,PROD01047,Wrong item received
RET002639,ORD00080754,PROD01008,Changed mind
RET002644,ORD00080812,PROD01018,Size/compatibility issue
RET002647,ORD00080832,PROD01035,Better price available
RET002654,ORD00080874,PROD01063,Changed mind
RET002662,ORD00081005,PROD01028,Better price available
RET002674,ORD00081136,PROD01011,Product not as described
RET002675,ORD00081145,PROD01049,Changed mind
RET002676,ORD00081202,PROD01051,Quality issues
RET002680,ORD00081224,PROD01016,Wrong item received
RET002685,ORD00081286,PROD01058,Wrong item received
RET002687,ORD00081296,PROD01007,Defective product
RET002688,ORD00081301,PROD01021,Size/compatibility issue
RET002693,ORD00081346,PROD01009,Ordered by mistake
RET002697,ORD00081394,PROD01018,Late delivery
RET002712,ORD00081514,PROD01007,Damaged during shipping
RET002715,ORD00081542,PROD01036,Wrong item received
RET002720,ORD00081611,PROD01021,Size/compatibility issue
RET002722,ORD00081637,PROD01033,Product not as described
RET002729,ORD00081715,PROD01016,Better price available
RET002734,ORD00081781,PROD01037,Changed mind
RET002741,ORD00081822,PROD01057,Better price available
RET002744,ORD00081862,PROD01014,Ordered by mistake
RET002747,ORD00081891,PROD01062,Wrong item received
RET002748,ORD00081897,PROD01063,Wrong item received
RET002749,ORD00081902,PROD01056,Ordered by mistake
RET002752,ORD00081939,PROD01014,Size/compatibility issue
RET002760,ORD00082068,PROD01026,Wrong item received
RET002765,ORD00082093,PROD01009,Damaged during shipping
RET002776,ORD00082173,PROD01051,Better price available
RET002787,ORD00082351,PROD01019,Wrong item received
RET002788,ORD00082358,PROD01003,Ordered by mistake
RET002796,ORD00082450,PROD01039,Size/compatibility issue
RET002801,ORD00082498,PROD01052,Quality issues
RET002804,ORD00082516,PROD01050,Changed mind
RET002815,ORD00082647,PROD01049,Size/compatibility issue
RET002828,ORD00082886,PROD01039,Better price available
RET002829,ORD00082890,PROD01033,Ordered by mistake
RET002833,ORD00082924,PROD01004,Damaged during shipping
RET002839,ORD00083002,PROD01048,Ordered by mistake
RET002844,ORD00083052,PROD01058,Quality issues
RET002846,ORD00083084,PROD01039,Size/compatibility issue
RET002847,ORD00083087,PROD01057,Better price available
RET002849,ORD00083126,PROD01047,Size/compatibility issue
RET002850,ORD00083136,PROD01045,Ordered by mistake
RET002851,ORD00083141,PROD01060,Size/compatibility issue
RET002872,ORD00083345,PROD01044,Changed mind
RET002877,ORD00083422,PROD01019,Wrong item received
RET002879,ORD00083452,PROD01050,Size/compatibility issue
RET002887,ORD00083534,PROD01026,Changed mind
RET002889,ORD00083557,PROD01004,Wrong item received
RET002890,ORD00083569,PROD01059,Defective product
RET002894,ORD00083590,PROD01045,Size/compatibility issue
RET002898,ORD00083618,PROD01007,Late delivery
RET002900,ORD00083650,PROD01042,Late delivery
RET002904,ORD00083678,PROD01050,Ordered by mistake
RET002906,ORD00083686,PROD01020,Defective product
RET002908,ORD00083702,PROD01043,Quality issues
RET002910,ORD00083732,PROD01007,Damaged during shipping
RET002912,ORD00083764,PROD01034,Size/compatibility issue
RET002924,ORD00083838,PROD01050,Size/compatibility issue
RET002934,ORD00083970,PROD01049,Ordered by mistake
RET002937,ORD00084018,PROD01028,Late delivery
RET002938,ORD00084024,PROD01002,Quality issues
RET002939,ORD00084044,PROD01041,Better price available
RET002942,ORD00084068,PROD01022,Product not as described
RET002943,ORD00084068,PROD01035,Product not as described
RET002958,ORD00084200,PROD01006,Changed mind
RET002965,ORD00084292,PROD01016,Ordered by mistake
RET002968,ORD00084322,PROD01052,Quality issues
RET002970,ORD00084333,PROD01014,Product not as described
RET002971,ORD00084348,PROD01014,Wrong item received
RET002978,ORD00084529,PROD01016,Damaged during shipping
RET002982,ORD00084549,PROD01017,Damaged during shipping
RET002988,ORD00084636,PROD01024,Wrong item received
RET002989,ORD00084645,PROD01016,Defective product
RET002991,ORD00084682,PROD01044,Changed mind
